Time,Host,BootDevice,BuildNumber,BuildType,Caption,CodeSet,CountryCode,CreationClassName,CSCreationClassName,CSDVersion,CSName,CurrentTimeZone,DataExecutionPrevention_32BitApplications,DataExecutionPrevention_Available,DataExecutionPrevention_Drivers,DataExecutionPrevention_SupportPolicy,Debug,Description,Distributed,EncryptionLevel,ForegroundApplicationBoost,FreePhysicalMemory,FreeSpaceInPagingFiles,FreeVirtualMemory,InstallDate,LargeSystemCache,LastBootUpTime,LocalDateTime,Locale,Manufacturer,MaxNumberOfProcesses,MaxProcessMemorySize,MUILanguages,Name,NumberOfLicensedUsers,NumberOfProcesses,NumberOfUsers,OperatingSystemSKU,Organization,OSArchitecture,OSLanguage,OSProductSuite,OSType,OtherTypeDescription,PAEEnabled,PlusProductID,PlusVersionNumber,PortableOperatingSystem,Primary,ProductType,RegisteredUser,SerialNumber,ServicePackMajorVersion,ServicePackMinorVersion,SizeStoredInPagingFiles,Status,SuiteMask,SystemDevice,SystemDirectory,SystemDrive,TotalSwapSpaceSize,TotalVirtualMemorySize,TotalVisibleMemorySize,Version,WindowsDirectory
1717239473.5712936,pc-dedo,\Device\HarddiskVolume3,19045,Multiprocessor Free,Microsoft Windows 10 Pro,1252,39,Win32_OperatingSystem,Win32_ComputerSystem,,PC-DEDO,120,True,True,True,2,False,,False,256,2,5213076,17473716,14867728,20200718220632.000000+120,,20240601121505.500000+120,20240601125753.445000+120,0410,Microsoft Corporation,-1,137438953344,"('it-IT',)",Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,,354,2,48,,64 bit,1040,256,18,,,,,False,True,1,User,00330-80000-00000-AA213,0,0,17825792,OK,272,\Device\HarddiskVolume5,C:\Windows\system32,C:,,34533172,16707380,10.0.19045,C:\Windows
1717240285.6015832,pc-dedo,\Device\HarddiskVolume3,19045,Multiprocessor Free,Microsoft Windows 10 Pro,1252,39,Win32_OperatingSystem,Win32_ComputerSystem,,PC-DEDO,120,True,True,True,2,False,,False,256,2,5511184,17358376,15063800,20200718220632.000000+120,,20240601121505.500000+120,20240601131125.496000+120,0410,Microsoft Corporation,-1,137438953344,"('it-IT',)",Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,,350,2,48,,64 bit,1040,256,18,,,,,False,True,1,User,00330-80000-00000-AA213,0,0,17825792,OK,272,\Device\HarddiskVolume5,C:\Windows\system32,C:,,34533172,16707380,10.0.19045,C:\Windows
1717240338.0048053,pc-dedo,\Device\HarddiskVolume3,19045,Multiprocessor Free,Microsoft Windows 10 Pro,1252,39,Win32_OperatingSystem,Win32_ComputerSystem,,PC-DEDO,120,True,True,True,2,False,,False,256,2,5600012,17321992,14955504,20200718220632.000000+120,,20240601121505.500000+120,20240601131217.892000+120,0410,Microsoft Corporation,-1,137438953344,"('it-IT',)",Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,,352,2,48,,64 bit,1040,256,18,,,,,False,True,1,User,00330-80000-00000-AA213,0,0,17825792,OK,272,\Device\HarddiskVolume5,C:\Windows\system32,C:,,34533172,16707380,10.0.19045,C:\Windows
1717241128.132069,pc-dedo,\Device\HarddiskVolume3,19045,Multiprocessor Free,Microsoft Windows 10 Pro,1252,39,Win32_OperatingSystem,Win32_ComputerSystem,,PC-DEDO,120,True,True,True,2,False,,False,256,2,5713988,17415984,15093484,20200718220632.000000+120,,20240601121505.500000+120,20240601132528.021000+120,0410,Microsoft Corporation,-1,137438953344,"('it-IT',)",Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,,350,2,48,,64 bit,1040,256,18,,,,,False,True,1,User,00330-80000-00000-AA213,0,0,17825792,OK,272,\Device\HarddiskVolume5,C:\Windows\system32,C:,,34533172,16707380,10.0.19045,C:\Windows
