Time,Host,Access,Availability,BlockSize,Caption,Compressed,ConfigManagerErrorCode,ConfigManagerUserConfig,CreationClassName,Description,DeviceID,DriveType,ErrorCleared,ErrorDescription,ErrorMethodology,FileSystem,FreeSpace,InstallDate,LastErrorCode,MaximumComponentLength,MediaType,Name,NumberOfBlocks,PNPDeviceID,PowerManagementCapabilities,PowerManagementSupported,ProviderName,Purpose,QuotasDisabled,QuotasIncomplete,QuotasRebuilding,Size,Status,StatusInfo,SupportsDiskQuotas,SupportsFileBasedCompression,SystemCreationClassName,SystemName,VolumeDirty,VolumeName,VolumeSerialNumber,FreeSpacePercentage
1717239505.9199653,pc-dedo,0,,,C:,False,,,Win32_LogicalDisk,Disco rigido locale,C:,3,,,,NTFS,14800785408,,,255,12,C:,,,,,,,,,,239390707712,,,False,True,Win32_ComputerSystem,PC-DEDO,,OS,B0DAF64D,6%
1717239505.9199653,pc-dedo,0,,,D:,False,,,Win32_LogicalDisk,Disco rigido locale,D:,3,,,,NTFS,242258235392,,,255,12,D:,,,,,,,,,,1000186310656,,,False,True,Win32_ComputerSystem,PC-DEDO,,DATA,7C3438D1,24%
1717240310.5945845,pc-dedo,0,,,C:,False,,,Win32_LogicalDisk,Disco rigido locale,C:,3,,,,NTFS,14835159040,,,255,12,C:,,,,,,,,,,239390707712,,,False,True,Win32_ComputerSystem,PC-DEDO,,OS,B0DAF64D,6%
1717240310.5945845,pc-dedo,0,,,D:,False,,,Win32_LogicalDisk,Disco rigido locale,D:,3,,,,NTFS,242257121280,,,255,12,D:,,,,,,,,,,1000186310656,,,False,True,Win32_ComputerSystem,PC-DEDO,,DATA,7C3438D1,24%
1717240363.144309,pc-dedo,0,,,C:,False,,,Win32_LogicalDisk,Disco rigido locale,C:,3,,,,NTFS,14832963584,,,255,12,C:,,,,,,,,,,239390707712,,,False,True,Win32_ComputerSystem,PC-DEDO,,OS,B0DAF64D,6%
1717240363.144309,pc-dedo,0,,,D:,False,,,Win32_LogicalDisk,Disco rigido locale,D:,3,,,,NTFS,242257121280,,,255,12,D:,,,,,,,,,,1000186310656,,,False,True,Win32_ComputerSystem,PC-DEDO,,DATA,7C3438D1,24%
1717241153.288569,pc-dedo,0,,,C:,False,,,Win32_LogicalDisk,Disco rigido locale,C:,3,,,,NTFS,14822580224,,,255,12,C:,,,,,,,,,,239390707712,,,False,True,Win32_ComputerSystem,PC-DEDO,,OS,B0DAF64D,6%
1717241153.288569,pc-dedo,0,,,D:,False,,,Win32_LogicalDisk,Disco rigido locale,D:,3,,,,NTFS,242257121280,,,255,12,D:,,,,,,,,,,1000186310656,,,False,True,Win32_ComputerSystem,PC-DEDO,,DATA,7C3438D1,24%
